         508158 function calls (500986 primitive calls) in 1.704 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    309/1    0.003    0.000    1.705    1.705 {built-in method builtins.exec}
        1    0.000    0.000    1.705    1.705 plot_gtex.py:1(<module>)
    362/1    0.003    0.000    1.037    1.037 <frozen importlib._bootstrap>:978(_find_and_load)
    356/1    0.003    0.000    1.037    1.037 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    319/1    0.003    0.000    1.037    1.037 <frozen importlib._bootstrap>:663(_load_unlocked)
    276/1    0.001    0.000    1.037    1.037 <frozen importlib._bootstrap_external>:722(exec_module)
    442/1    0.001    0.000    1.037    1.037 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    1.037    1.037 data_viz.py:1(<module>)
   357/34    0.001    0.000    0.694    0.020 {built-in method builtins.__import__}
        1    0.091    0.091    0.667    0.667 plot_gtex.py:28(main)
        1    0.000    0.000    0.655    0.655 pyplot.py:19(<module>)
 1321/296    0.005    0.000    0.640    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       11    0.001    0.000    0.635    0.058 __init__.py:1(<module>)
        1    0.363    0.363    0.363    0.363 plot_gtex.py:12(binary_search)
        1    0.000    0.000    0.292    0.292 colorbar.py:20(<module>)
       11    0.000    0.000    0.270    0.025 artist.py:1578(kwdoc)
        1    0.000    0.000    0.239    0.239 figure.py:12(<module>)
        1    0.000    0.000    0.234    0.234 get_data.py:1(<module>)
        1    0.000    0.000    0.233    0.233 __init__.py:106(<module>)
        1    0.000    0.000    0.214    0.214 _subplots.py:1(<module>)
       11    0.001    0.000    0.194    0.018 artist.py:1349(pprint_setters)
     2467    0.093    0.000    0.179    0.000 inspect.py:613(cleandoc)
    28686    0.178    0.000    0.178    0.000 {method 'split' of 'str' objects}
1108/1017    0.017    0.000    0.174    0.000 {built-in method builtins.__build_class__}
     2246    0.006    0.000    0.161    0.000 inspect.py:594(getdoc)
        1    0.000    0.000    0.151    0.151 contour.py:3(<module>)
        1    0.000    0.000    0.144    0.144 __init__.py:101(<module>)
        1    0.000    0.000    0.135    0.135 _axes.py:1(<module>)
        1    0.000    0.000    0.134    0.134 text.py:3(<module>)
     2153    0.006    0.000    0.131    0.000 re.py:271(_compile)
      276    0.004    0.000    0.129    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      171    0.002    0.000    0.120    0.001 sre_compile.py:759(compile)
        1    0.000    0.000    0.109    0.109 collections.py:10(<module>)
     1614    0.004    0.000    0.106    0.000 artist.py:1319(is_alias)
       12    0.007    0.001    0.104    0.009 artist.py:1277(_get_setters_and_targets)
      408    0.004    0.000    0.094    0.000 artist.py:1241(get_valid_values)
       12    0.000    0.000    0.083    0.007 artist.py:1193(__init__)
       12    0.003    0.000    0.083    0.007 artist.py:1213(get_aliases)
      350    0.005    0.000    0.082    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        1    0.000    0.000    0.075    0.075 rcsetup.py:15(<module>)
      171    0.001    0.000    0.073    0.000 sre_parse.py:919(parse)
       27    0.000    0.000    0.073    0.003 __init__.py:973(rc_params_from_file)
       90    0.000    0.000    0.072    0.001 re.py:232(compile)
  398/171    0.003    0.000    0.070    0.000 sre_parse.py:417(_parse_sub)
      345    0.001    0.000    0.070    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      345    0.004    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
  445/177    0.020    0.000    0.068    0.000 sre_parse.py:475(_parse)
        1    0.000    0.000    0.066    0.066 fontconfig_pattern.py:6(<module>)
      276    0.002    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      650    0.011    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     1792    0.004    0.000    0.059    0.000 __init__.py:774(__setitem__)
      276    0.059    0.000    0.059    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.057    0.057 pyparsing.py:96(<module>)
      588    0.010    0.000    0.056    0.000 inspect.py:1089(getfullargspec)
  318/315    0.002    0.000    0.055    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      501    0.001    0.000    0.053    0.000 re.py:180(search)
        1    0.000    0.000    0.053    0.053 _axes.py:97(Axes)
        1    0.000    0.000    0.052    0.052 core.py:12(<module>)
        1    0.000    0.000    0.052    0.052 core.py:151(load_base_library)
        1    0.000    0.000    0.052    0.052 core.py:182(read_style_directory)
       27    0.009    0.000    0.051    0.002 __init__.py:908(_rc_params_in_file)
61686/60750    0.046    0.000    0.048    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.048    0.048 numeric.py:1(<module>)
    15/13    0.000    0.000    0.048    0.004 __init__.py:109(import_module)
    15/13    0.000    0.000    0.047    0.004 <frozen importlib._bootstrap>:994(_gcd_import)
      641    0.004    0.000    0.047    0.000 inspect.py:2198(_signature_from_callable)
    80/76    0.000    0.000    0.046    0.001 __init__.py:810(__getitem__)
     12/2    0.000    0.000    0.046    0.023 pyplot.py:182(switch_backend)
      276    0.031    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      171    0.001    0.000    0.043    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.041    0.041 textpath.py:1(<module>)
      638    0.010    0.000    0.040    0.000 inspect.py:2117(_signature_from_function)
     1288    0.012    0.000    0.039    0.000 {built-in method builtins.any}
        2    0.000    0.000    0.038    0.019 __init__.py:7(<module>)
       72    0.002    0.000    0.037    0.001 __init__.py:1525(_preprocess_data)
        1    0.000    0.000    0.036    0.036 mathtext.py:16(<module>)
    37/35    0.000    0.000    0.036    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
    37/35    0.031    0.001    0.035    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.035    0.035 _internal.py:6(<module>)
        1    0.000    0.000    0.034    0.034 lines.py:4(<module>)
        1    0.000    0.000    0.033    0.033 mathtext.py:2254(Parser)
    43888    0.033    0.000    0.033    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.033    0.033 mathtext.py:2838(<lambda>)
        1    0.001    0.001    0.033    0.033 mathtext.py:2838(<listcomp>)
  892/171    0.012    0.000    0.033    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.032    0.032 patches.py:1(<module>)
        1    0.000    0.000    0.031    0.031 platform.py:10(<module>)
        1    0.000    0.000    0.029    0.029 pyparsing.py:6366(pyparsing_common)
       31    0.001    0.000    0.029    0.001 _collections_abc.py:824(update)
       30    0.000    0.000    0.029    0.001 __init__.py:771(__init__)
     3409    0.009    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
    30325    0.025    0.000    0.025    0.000 {method 'rstrip' of 'str' objects}
    29654    0.024    0.000    0.025    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.025    0.025 artist.py:1(<module>)
        1    0.000    0.000    0.025    0.025 cm.py:19(<module>)
        1    0.000    0.000    0.025    0.025 __init__.py:875(rc_params)
       82    0.000    0.000    0.024    0.000 docstring.py:113(dedent_interpd)
    10742    0.015    0.000    0.024    0.000 mathtext.py:2839(<genexpr>)
        2    0.000    0.000    0.023    0.012 __init__.py:45(<module>)
       36    0.001    0.000    0.023    0.001 __init__.py:1496(_add_data_doc)
        1    0.000    0.000    0.022    0.022 _base.py:1(<module>)
       27    0.000    0.000    0.022    0.001 pyparsing.py:3263(__init__)
    28506    0.022    0.000    0.022    0.000 {method 'lstrip' of 'str' objects}
      150    0.001    0.000    0.021    0.000 cm.py:81(_generate_cmap)
       64    0.003    0.000    0.020    0.000 colors.py:729(from_list)
        1    0.000    0.000    0.020    0.020 backend_tkagg.py:1(<module>)
        1    0.000    0.000    0.020    0.020 axis.py:3(<module>)
      492    0.002    0.000    0.019    0.000 rcsetup.py:374(validate_color)
    20940    0.019    0.000    0.019    0.000 {built-in method builtins.min}
     1045    0.003    0.000    0.019    0.000 colors.py:149(to_rgba)
     1363    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.019    0.019 _backend_tk.py:1(<module>)
        3    0.000    0.000    0.018    0.006 __init__.py:2(<module>)
       19    0.001    0.000    0.018    0.001 rcsetup.py:866(validate_cycler)
        1    0.000    0.000    0.018    0.018 multiarray.py:7(<module>)
        1    0.000    0.000    0.018    0.018 __init__.py:197(_sanity_check)
        1    0.018    0.018    0.018    0.018 {method 'dot' of 'numpy.ndarray' objects}
      167    0.001    0.000    0.018    0.000 rcsetup.py:68(f)
     1401    0.017    0.000    0.017    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.017    0.017 overrides.py:1(<module>)
      318    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     1953    0.008    0.000    0.016    0.000 inspect.py:2467(__init__)
    18756    0.016    0.000    0.016    0.000 {method 'startswith' of 'str' objects}
      491    0.001    0.000    0.015    0.000 colors.py:120(is_color_like)
     5978    0.010    0.000    0.015    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.015    0.015 subprocess.py:42(<module>)
     3409    0.009    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      276    0.015    0.000    0.015    0.000 {method 'read' of '_io.FileIO' objects}
     2315    0.004    0.000    0.015    0.000 enum.py:284(__call__)
      111    0.001    0.000    0.014    0.000 rcsetup.py:90(<listcomp>)
      254    0.001    0.000    0.014    0.000 rcsetup.py:358(validate_color_for_prop_cycle)
        2    0.000    0.000    0.014    0.007 __init__.py:3(<module>)
        1    0.000    0.000    0.014    0.014 category.py:12(<module>)
        7    0.000    0.000    0.014    0.002 enum.py:633(_convert)
        1    0.000    0.000    0.013    0.013 index_tricks.py:1(<module>)
      552    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
7351/7347    0.009    0.000    0.012    0.000 {method 'join' of 'str' objects}
       10    0.000    0.000    0.012    0.001 pyparsing.py:5088(__init__)
     32/9    0.000    0.000    0.012    0.001 pyparsing.py:4434(leaveWhitespace)
        3    0.000    0.000    0.012    0.004 rcsetup.py:963(validate_webagg_address)
        1    0.000    0.000    0.012    0.012 table.py:20(<module>)
     1514    0.004    0.000    0.012    0.000 re.py:170(match)
        1    0.000    0.000    0.011    0.011 backend_qt5agg.py:3(<module>)
      681    0.005    0.000    0.011    0.000 inspect.py:2750(__init__)
      410    0.001    0.000    0.011    0.000 pyparsing.py:1409(copy)
        1    0.000    0.000    0.011    0.011 socket.py:47(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:31(<module>)
     1536    0.003    0.000    0.011    0.000 colors.py:115(_is_nth_color)
        1    0.000    0.000    0.011    0.011 npyio.py:1(<module>)
      373    0.004    0.000    0.011    0.000 colors.py:185(_to_rgba_no_colorcycle)
     3964    0.006    0.000    0.010    0.000 sre_parse.py:254(get)
       11    0.000    0.000    0.010    0.001 pyparsing.py:1887(parseString)
      410    0.003    0.000    0.010    0.000 copy.py:66(copy)
       53    0.000    0.000    0.010    0.000 inspect.py:3081(signature)
        1    0.000    0.000    0.010    0.010 utils.py:4(<module>)
       53    0.000    0.000    0.010    0.000 inspect.py:2829(from_callable)
     9706    0.010    0.000    0.010    0.000 {built-in method builtins.getattr}
       16    0.001    0.000    0.010    0.001 {built-in method builtins.eval}
     56/9    0.000    0.000    0.010    0.001 pyparsing.py:3866(leaveWhitespace)
        1    0.000    0.000    0.010    0.010 _distributor_init.py:10(<module>)
        1    0.000    0.000    0.010    0.010 _parser.py:30(<module>)
      589    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.009    0.009 __init__.py:10(<module>)
        6    0.000    0.000    0.009    0.002 patches.py:1872(_pprint_styles)
        1    0.000    0.000    0.009    0.009 artist.py:1312(get_setters)
      171    0.002    0.000    0.009    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.009    0.009 case.py:1(<module>)
